city,lat,lng
Calkini,20.3667,-90.05
Tecuala,22.4004,-105.46
Cerritos,22.4275,-100.2783
Tlaxcala,19.3191,-98.1998
Tecpan de Galeana,17.25,-100.6833
Ciudad Hidalgo,14.6792,-92.1497
Tierra Blanca,21.1011,-100.1578
Guachochi,26.8194,-107.07
Tlayacapan,18.9556,-98.9811
San Andres Timilpan,19.8667,-99.7333
Cienega de Flores,25.95,-100.1833
Almoloya de Alquisiras,18.85,-99.85
Juan Aldama,24.291,-103.394
Santa Rosalia,27.3389,-112.2669
Tepoztlan,18.9853,-99.0997
Acala,16.5533,-92.8069
Apaxco de Ocampo,19.9733,-99.17
Zacualpan,18.7197,-99.78
San Pedro Pochutla,15.7463,-96.4652
Aldama,22.9194,-98.0736
Ascension,31.0928,-107.9964
Coquimatlan,19.2038,-103.8086
Cadereyta,20.7,-99.8167
Singuilucan,19.9675,-98.5178
Valparaiso,22.7667,-103.5667
Sonoita,31.8614,-112.8544
Maxcanu,20.5833,-89.9833
El Fuerte,26.4214,-108.62
Arroyo Seco,21.5472,-99.6883
Isla Mujeres,21.2084,-86.7115
Emiliano Zapata,19.65,-98.55
Tzintzuntzan,19.6283,-101.5789
Tempoal de Sanchez,21.5167,-98.3833
Cocotitlan,19.2167,-98.85
Mineral del Monte,20.1333,-98.6667
Balancan,17.8,-91.53
Abasolo,24.0559,-98.3733
Jose Maria Morelos,19.75,-88.7
Tolcayuca,19.95,-98.9167
Ángel R. Cabada,18.5969,-95.4453
Huandacareo,19.9906,-101.275
Espita,21.0128,-88.3047
Epazoyucan,20.0177,-98.6361
Santa Maria Huazolotitlan,16.3014,-97.9125
Xichu,21.2997,-100.0553
Gonzalez,22.8281,-98.4306
Temamatla,19.2028,-98.87
Joquicingo,19.0556,-99.5467
Saucillo,28.0333,-105.2833
Acanceh,20.8133,-89.4524
Nuevo Ideal,24.8875,-105.0728
Totolapan,18.9869,-98.9197
Villa Union,23.9667,-104.0333
Tlachichilco,20.6217,-98.1994
Tezontepec,19.8833,-98.8167
Soyaniquilpan,19.9892,-99.4361
Coalcoman de Vazquez Pallares,18.7771,-103.1596
Chichihualco,17.655,-99.674
Almoloya,19.7,-98.4
Santa Ana,30.5406,-111.1205
Tenango del Aire,19.1575,-98.8581
Tierra Colorada,17.1656,-99.5264
Jaltenango,15.8725,-92.725
Coroneo,20.1333,-100.3333
Canatlan,24.52,-104.78
Cuatro Cienegas de Carranza,26.9861,-102.0664
Hecelchakan,20.1667,-90.1333
Chavinda,20.0167,-102.45
Tetela del Volcan,18.8931,-98.7297
Mexicaltzingo,19.2092,-99.5858
Ciudad Tula,23,-99.72
Pajacuaran,20.1178,-102.5667
Platon Sanchez,21.2833,-98.3667
Imuris,30.7667,-110.8333
Jilotlan de los Dolores,19.3708,-103.0197
Cuencame de Ceniceros,24.8667,-103.7
Candelaria,18.1844,-91.0461
Jamapa,19.04,-96.24
Ciudad Cuauhtemoc,22.1842,-97.8325
Xicotencatl,22.9958,-98.9447
Tlahualilo de Zaragoza,26.1167,-103.45
Halacho,20.4764,-90.0819
La Huacana,18.9625,-101.8069
Zacualpan de Amilpas,18.7836,-98.7594
Ecatzingo,18.95,-98.75
Choix,26.7061,-108.3219
Altamirano,16.7361,-92.0389
Amatlan de los Reyes,18.8457,-96.9149
